row,model,px,py,pz,ux,uy,uz,k,cost,nfev,status
57,biot,0.0974956772,0.1068465540,0.1890227101,0.0186077401,-0.3983691606,0.9170364027,0.9994347758,0.0000503511,5,1
58,biot,0.1293664514,0.1059319561,0.1873798524,0.0157064643,-0.4006297806,0.9161053901,0.9995001213,0.0000505407,5,1
59,biot,0.1601424558,0.1045835634,0.1847071935,0.0190330700,-0.3984890502,0.9169755826,0.9996301880,0.0000507978,5,1
60,biot,0.0024478051,0.1407970413,0.1865886666,0.0152269636,-0.4034123528,0.9148915855,0.9995002954,0.0000506490,5,1
61,biot,0.0341983332,0.1400328326,0.1874811366,0.0189837553,-0.4044874560,0.9143464961,0.9994774110,0.0000506030,5,1
62,biot,0.0660250478,0.1391248958,0.1877698705,0.0188398413,-0.3971673576,0.9175528053,0.9994887878,0.0000506017,5,1
63,biot,0.0977935173,0.1383604979,0.1870975540,0.0156084247,-0.3993283322,0.9166751116,0.9995285916,0.0000506390,5,1
64,biot,0.1290660702,0.1367666754,0.1853817820,0.0203999627,-0.3988669528,0.9167818691,0.9996263562,0.0000507935,5,1
65,biot,0.1650132089,0.1400809930,0.1835226530,0.0188969392,-0.3952770706,0.9183675425,0.9995157669,0.0000507028,6,1
66,biot,0.0028486762,0.1782225503,0.1844202449,-0.0004984424,-0.4178522679,0.9085148506,0.9993745051,0.0000506022,6,1
67,biot,0.0352469538,0.1695212251,0.1845919720,0.0179566247,-0.4059937391,0.9136994273,0.9996647293,0.0000508158,5,1
68,biot,0.0662886461,0.1689263686,0.1848776258,0.0198827904,-0.3973607601,0.9174470562,0.9996687211,0.0000508331,5,1
69,biot,0.1003034379,0.1751240517,0.1849917987,0.0153468476,-0.3957740767,0.9182196657,0.9994446999,0.0000506868,6,1
70,biot,0.1322163145,0.1729330704,0.1827344360,0.0155987182,-0.3946332107,0.9187063236,0.9995893316,0.0000508168,6,1
71,biot,0.1630011889,0.1701004437,0.1800095102,0.0196843614,-0.3983420390,0.9170257062,0.9997694419,0.0000508782,6,1
72,biot,-0.0019833825,0.0119556107,0.1597199549,0.0138547408,-0.3999036900,0.9164524455,0.9993165955,0.0000496164,5,1
73,biot,0.0306273427,0.0108093075,0.1607927544,0.0173661897,-0.3993445595,0.9166364264,0.9992943041,0.0000493754,5,1
74,biot,0.0634861125,0.0098881164,0.1611710344,0.0160351630,-0.4010094639,0.9159335584,0.9993012042,0.0000492848,5,1
75,biot,0.0961456074,0.0095838980,0.1603907645,0.0194089825,-0.3985083574,0.9169593124,0.9993432240,0.0000494840,5,1
76,biot,0.1286623367,0.0092060431,0.1584505606,0.0197648713,-0.4016564988,0.9155770895,0.9994213297,0.0000498307,5,1
77,biot,0.1604106849,0.0093612172,0.1553046074,0.0184254781,-0.4010655047,0.9158640525,0.9995309492,0.0000502381,5,1
78,biot,-0.0013598343,0.0448957289,0.1602844617,0.0138238853,-0.4062414460,0.9136611997,0.9993228813,0.0000494840,5,1
79,biot,0.0312799309,0.0439776827,0.1611976664,0.0188192418,-0.4033522602,0.9148512395,0.9992948952,0.0000492353,5,1
80,biot,0.0640456162,0.0434356917,0.1616133102,0.0163567377,-0.4034900804,0.9148378065,0.9993000655,0.0000491922,5,1
81,biot,0.0967981884,0.0427528415,0.1609458361,0.0208849135,-0.3995607549,0.9164687794,0.9993443362,0.0000493725,5,1
82,biot,0.1293372987,0.0421442884,0.1585709996,0.0179924623,-0.4009431664,0.9159262244,0.9994299979,0.0000497421,5,1
83,biot,0.1609283886,0.0414704405,0.1556064269,0.0199505656,-0.3996070841,0.9164693957,0.9995469717,0.0000502082,5,1
84,biot,-0.0007332003,0.0776346922,0.1597270705,0.0176378239,-0.4060662771,0.9136734021,0.9993616589,0.0000496550,5,1
85,biot,0.0318642501,0.0769434570,0.1608260746,0.0172622248,-0.4050195620,0.9141450487,0.9993335559,0.0000494681,5,1
86,biot,0.0646749567,0.0763310821,0.1608020866,0.0190678601,-0.4003430220,0.9161669507,0.9993380219,0.0000494168,5,1
87,biot,0.0974093747,0.0755724082,0.1600747197,0.0163432664,-0.3983076949,0.9171062522,0.9993848383,0.0000496066,5,1
88,biot,0.1296094111,0.0744374489,0.1584813631,0.0196264893,-0.4000348998,0.9162897358,0.9994710455,0.0000499317,5,1
89,biot,0.1612565529,0.0736309399,0.1552168349,0.0174429169,-0.3994112352,0.9166059185,0.9995952112,0.0000503048,5,1
90,biot,0.0004766187,0.1106264626,0.1580344957,0.0041028794,-0.4123869354,0.9109995510,0.9994393533,0.0000499247,5,1
91,biot,0.0326343615,0.1090682965,0.1595642291,0.0176153316,-0.4005511744,0.9161050468,0.9994124159,0.0000497716,5,1
92,biot,0.0651440507,0.1086495645,0.1595434583,0.0156317971,-0.4015870239,0.9156874517,0.9994228134,0.0000496995,5,1
93,biot,0.0976911014,0.1079616500,0.1584037210,0.0143904809,-0.4008933993,0.9160116792,0.9994702882,0.0000498293,5,1
94,biot,0.1297020060,0.1068067483,0.1567997291,0.0182048404,-0.4021647534,0.9153863091,0.9995544765,0.0000501630,5,1
